name,file,country,summary,dob,tests_played,odis_played,test_runs,odi_runs,test_highest_runs,odi_highest_runs,test_runs_avg,odi_runs_avg,test_100s,test_50s,odi_100s,odi_50s,test_wickets,odi_wickets,test_10ws,test_5ws,odi_5ws,test_bbm_w,test_bbm_r,odi_bbm_w,odi_bbm_r
AB de Villiers,abde_villers_sa.jpg,SA,,2/17/1984,98,187,7606,7941,278,162,52.09,53.65,21,36,20,46,2,7,0,0,0,2,49,2,15
Anil Kumble,anil_kumble_ind.jpg,IND,,10/17/1970,134,271,2506,938,110,26,17.77,10.53,1,5,0,0,619,337,8,35,2,14,149,6,12
Aravinda de Silva,aravind_de_silva_slk.jpg,SLK,,10/17/1965,93,308,6361,9284,267,145,42.97,34.9,20,22,11,64,29,106,0,0,0,3,34,4,30
Brendon McCullum,brendon_mccullum_nz.jpg,NZ,,9/27/1981,94,254,6008,5909,302,166,38.76,30.3,11,29,5,31,1,0,0,0,0,1,13,0,0
Brett Lee,brett_lee_aus.jpg,AUS,,11/8/1976,76,221,1451,1176,64,59,20.15,17.81,0,5,0,3,310,380,0,10,9,9,171,5,22
Brian Lara,brian_lara_wi.jpg,WI,,5/2/1969,131,299,11953,10405,400,169,52.88,40.48,34,48,19,63,0,4,0,0,0,0,0,2,5
Chris Gayle,chris_gayle_wi.jpg,WI,,9/21/1979,103,269,7214,9221,333,215,42.18,37.33,15,37,22,47,73,163,0,2,1,6,81,5,46
Dale Steyn,dale_steyn_sa.jpg,SA,,6/27/1983,78,104,1114,259,76,35,14.65,8.09,0,2,0,0,396,162,5,25,3,11,60,6,39
Dennis Lillee,dennis_lilee_aus.jpg,AUS,,7/18/1949,70,63,905,240,73,42,13.71,9.23,0,1,0,0,355,103,7,23,1,11,123,5,34
Glenn Maxwell,glenn_maxwell_aus.jpg,AUS,,10/14/1988,3,49,80,1367,37,102,13.33,35.05,0,0,1,11,7,34,0,0,0,4,127,4,46
Glenn McGrath,glenn_mcgrath_aus.jpg,AUS,,2/9/1970,124,250,641,115,61,11,7.36,3.83,0,1,0,0,563,381,3,29,7,10,27,7,15
Graeme Smith,graeme_smith_sa.jpg,SA,,2/1/1981,117,197,9265,6989,277,141,48.25,37.98,27,38,10,47,8,18,0,0,0,2,145,3,30
Harbhajan Singh,harbhajan_singh_ind.jpg,IND,,7/3/1980,102,229,2209,1190,115,49,18.4,13.22,2,9,0,0,416,259,5,25,3,15,217,5,31
